CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Teruel;Grado: Psicología;Grado;Graduado;Hombres;5;0;0;0;4.80;90.99;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Graduado;Mujeres;61;0;0;0;4.24;93.38;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;05/01/2020
2017;Teruel;Grado: Psicología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;05/01/2020
2017;Teruel;Licenciado en Ciencias del Trabajo;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Teruel;Licenciado en Ciencias del Trabajo;Licenciatura o equivalente;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;05/01/2020
2017;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;2;0;0;0;1.00;100.00;05/01/2020
2017;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;16;0;0;0;1.00;100.00;05/01/2020
2017;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Hombres;8;0;0;0;2.00;100.00;05/01/2020
2017;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Mujeres;23;0;0;0;2.13;98.15;05/01/2020
2017;Zaragoza;Bioquímica;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Bioquímica;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Derecho;Licenciatura o equivalente;Abandono Voluntario;Hombres;0;5;0;0;;;05/01/2020
2017;Zaragoza;Derecho;Licenciatura o equivalente;Abandono Voluntario;Mujeres;0;8;0;0;;;05/01/2020
2017;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;7;;;05/01/2020
2017;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;4;;;05/01/2020
2017;Zaragoza;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;3;;;05/01/2020
2017;Zaragoza;Diplomado en Turismo;Diplomatura o equivalente;Graduado;Mujeres;2;0;0;0;13.00;91.15;05/01/2020
2017;Zaragoza;Doctorado: Bioquímica y biología molecular [RD 1393/2007];Doctorado;Graduado;Hombres;1;0;0;0;2.53;;05/01/2020
2017;Zaragoza;Doctorado: Calidad, seguridad y tecnología de los alimentos [RD 1393/2007];Doctorado;Graduado;Mujeres;1;0;0;0;1.98;;05/01/2020
2017;Zaragoza;Doctorado: Ciencias de la antigüedad [RD 1393/2007];Doctorado;Graduado;Hombres;1;0;0;0;1.54;;05/01/2020
2017;Zaragoza;Doctorado: Derecho [RD 1393/2007];Doctorado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: Derecho [RD 1393/2007];Doctorado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: Derecho [RD 1393/2007];Doctorado;Graduado;Hombres;1;0;0;0;0.90;;05/01/2020
2017;Zaragoza;Doctorado: Educación [RD 1393/2007];Doctorado;Graduado;Hombres;1;0;0;0;4.53;;05/01/2020
2017;Zaragoza;Doctorado: Geología [RD 1393/2007];Doctorado;Graduado;Hombres;1;0;0;0;0.31;;05/01/2020
2017;Zaragoza;Doctorado: Historia del arte [RD 1393/2007];Doctorado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: Historia moderna [RD 1393/2007];Doctorado;Graduado;Mujeres;1;0;0;0;0.37;;05/01/2020
2017;Zaragoza;Doctorado: Ingeniería química y del medio ambiente [RD 1393/2007];Doctorado;Graduado;Mujeres;1;0;0;0;0.46;;05/01/2020
2017;Zaragoza;Doctorado: Medicina [RD 1393/2007];Doctorado;Graduado;Mujeres;2;0;0;0;0.25;;05/01/2020
2017;Zaragoza;Doctorado: Medicina y sanidad animal [RD 1393/2007];Doctorado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: Medicina y sanidad animal [RD 1393/2007];Doctorado;Abandono Voluntario;Mujeres;0;2;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Abandono Voluntario;Mujeres;0;2;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Hombres;2;0;0;0;3.87;;05/01/2020
2017;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Mujeres;6;0;0;0;2.95;;05/01/2020
2017;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Graduado;Hombres;2;0;0;0;2.92;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencia analítica en química [RD 99/2011];Doctorado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencia analítica en química [RD 99/2011];Doctorado;Graduado;Mujeres;3;0;0;0;2.01;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencia analítica en química [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011];Doctorado;Graduado;Hombres;5;0;0;0;2.79;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011];Doctorado;Graduado;Mujeres;2;0;0;0;2.91;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011];Doctorado;Graduado;Mujeres;3;0;0;0;1.24;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Doctorado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Doctorado;Graduado;Hombres;4;0;0;0;2.69;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Doctorado;Graduado;Mujeres;2;0;0;0;1.28;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Hombres;0;2;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;05/01/2020
2017;Zaragoza;Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011];Doctorado;Abandono Voluntario;Hombres;0;1;0;0;;;05/01/2020
